,fossil_fuel_consumption,co2
1339,,54.50899999999999
1340,53.142,11.876
1341,58.25100000000001,12.627
1342,56.725,12.699000000000002
1343,58.056,12.693
1344,59.972,13.287
1345,63.72,14.117
1346,64.428,14.434
1347,68.999,15.824000000000002
1348,67.993,15.203
1349,57.625,13.042
1350,62.612,13.945
1351,64.589,14.293
1352,64.509,14.345
1353,58.344,13.355
1354,56.103,13.107
1355,58.345,13.319
1356,58.565,13.351
1357,60.992,13.572
1358,63.244,13.696
1359,62.286,13.923
1360,36.694,8.71
1361,39.368,9.207
1362,43.133,9.984
1363,45.285,10.459
1364,51.20399999999999,11.829
1365,51.93899999999999,12.087
1366,50.909,11.92
1367,48.843,11.317
1368,48.435,11.184
1369,46.341,10.638
1370,48.863,11.207
1371,47.574,11.102
1372,46.515,10.866
1373,44.014,10.321
1374,42.34,9.836
1375,40.87300000000001,9.348
1376,40.176,9.093
1377,41.357,9.261
1378,43.11,9.568
1379,43.886,9.752
1380,588.768,126.203
1381,595.698,133.988
1382,640.729,135.118
1383,699.176,156.52100000000002
1384,744.6669999999998,171.102
1385,794.46,181.333
1386,825.322,178.785
1387,882.0369999999998,182.455
1388,909.055,201.985
1389,881.416,200.713
1390,910.841,215.935
1391,938.526,216.99400000000003
1392,1006.504,215.213
1393,1048.004,242.487
1394,1054.519,244.833
1395,1067.692,231.844
1396,1111.393,250.561
1397,1112.613,250.561
1398,1095.305,272.22900000000004
1399,1108.253,278.659
1400,,2.546
1401,,2.665
1402,,2.707
1403,,2.979
1404,,2.846
1405,,2.654
1406,,2.6660000000000004
1407,,2.738
1408,,2.747
1409,,2.533
1410,,2.58
1411,,2.577
1412,,2.761
1413,,2.444
1414,,2.448
1415,,1.741
1416,,1.405
1417,,1.5590000000000002
1418,,1.538
1419,,1.669
1420,,2.689
1421,,2.862
1422,,2.884
