,fossil_production,gdp
1049,3098.139,1510000000000.0
1050,3320.2960000000003,1770000000000.0
1051,3785.465,2150000000000.0
1052,3945.3280000000004,2250000000000.0
1053,4525.006,2330000000000.0
1054,4379.014,2430000000000.0
1055,4395.957,2550000000000.0
1056,4373.733,2680000000000.0
1057,4363.718,
1058,5009.406999999999,
1059,5299.114,
1060,1525.386,76975620096.0
1061,1464.515,91946008576.0
1062,1228.509,99146276864.0
1063,781.4380000000001,77066510336.0
1064,1169.986,118000000000.0
1065,1058.005,129000000000.0
1066,1151.914,149000000000.0
1067,1265.6360000000002,175000000000.0
1068,1450.0020000000006,214000000000.0
1069,1458.8220000000001,248000000000.0
1070,1474.133,302000000000.0
1071,1639.8300000000002,380000000000.0
1072,1820.351,424000000000.0
1073,1835.971,468000000000.0
1074,1919.265,472000000000.0
1075,2344.3199999999997,495000000000.0
1076,2625.6110000000003,544000000000.0
1077,2683.265,
1078,2741.587,
1079,2827.357,
1080,0.0,149000000000.0
1081,0.0,161000000000.0
1082,0.0,182000000000.0
1083,0.0,193000000000.0
1084,0.0,208000000000.0
1085,0.0,222000000000.0
